
Balance de criminalidad. 2020 - 1er Trimestre - Capitales de provincia, municipios mayores de 30.000 habitantes e islas
Indicadores de seguridad 2020 - 1er Trimestre por geografía,  tipología penal y periodos.
Unidades: Hechos conocidos

;1.-Homicidios dolosos y asesinatos consumados;;2.-Homicidios dolosos y asesinatos en grado tentativa;;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;;4.-Secuestro;;5.-Delitos contra la libertad e indemnidad sexual;;5.1.-Agresión sexual con penetración;;5.2.-Resto de delitos contra la libertad e indemnidad sexual;;6.-Robos con violencia e intimidación;;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;;7.1.-Robos con fuerza en domicilios;;8.-Hurtos;;9.-Sustracciones de vehículos;;10.-Tráfico de drogas;;Resto de infracciones penales;;TOTAL INFRACCIONES PENALES;;
- Municipio de Collado Villalba;0.0;0.0;0.0;1.0;9.0;8.0;0.0;0.0;6.0;7.0;1.0;1.0;5.0;6.0;52.0;11.0;55.0;49.0;45.0;28.0;244.0;180.0;3.0;6.0;4.0;4.0;467.0;404.0;840.0;670.0;
- Municipio de Coslada;0.0;0.0;0.0;1.0;6.0;4.0;0.0;0.0;4.0;3.0;0.0;1.0;4.0;2.0;15.0;15.0;44.0;43.0;23.0;24.0;235.0;183.0;27.0;22.0;3.0;1.0;630.0;504.0;964.0;776.0;
- Municipio de Fuenlabrada;0.0;1.0;0.0;1.0;6.0;6.0;0.0;0.0;7.0;9.0;0.0;0.0;7.0;9.0;84.0;41.0;45.0;66.0;19.0;27.0;477.0;466.0;56.0;37.0;4.0;12.0;1124.0;793.0;1803.0;1432.0;
- Municipio de Galapagar;0.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;6.0;0.0;0.0;0.0;6.0;0.0;9.0;7.0;57.0;64.0;47.0;48.0;53.0;45.0;1.0;1.0;2.0;0.0;368.0;351.0;498.0;471.0;
- Municipio de Getafe;0.0;1.0;0.0;0.0;18.0;9.0;0.0;0.0;13.0;15.0;1.0;1.0;12.0;14.0;86.0;82.0;106.0;78.0;60.0;42.0;619.0;504.0;101.0;58.0;2.0;5.0;1271.0;1066.0;2216.0;1818.0;
- Municipio de Leganés;1.0;0.0;0.0;0.0;14.0;8.0;0.0;0.0;18.0;6.0;3.0;1.0;15.0;5.0;92.0;63.0;100.0;84.0;51.0;26.0;969.0;946.0;52.0;62.0;7.0;7.0;1104.0;1028.0;2357.0;2204.0;
- Municipio de Madrid;4.0;6.0;7.0;4.0;347.0;328.0;1.0;1.0;288.0;309.0;27.0;35.0;261.0;274.0;2506.0;2482.0;2366.0;2059.0;1252.0;836.0;30180.0;25063.0;1270.0;1125.0;496.0;446.0;27161.0;25179.0;64626.0;57002.0;
- Municipio de Majadahonda;0.0;0.0;3.0;0.0;5.0;5.0;0.0;0.0;7.0;1.0;0.0;0.0;7.0;1.0;12.0;20.0;88.0;48.0;68.0;38.0;348.0;343.0;10.0;25.0;4.0;6.0;520.0;523.0;997.0;971.0;
- Municipio de Móstoles;0.0;0.0;0.0;3.0;12.0;13.0;1.0;0.0;14.0;10.0;1.0;3.0;13.0;7.0;69.0;50.0;71.0;70.0;53.0;24.0;486.0;416.0;67.0;55.0;12.0;18.0;1357.0;1228.0;2089.0;1863.0;
- Municipio de Parla;0.0;1.0;0.0;0.0;6.0;5.0;0.0;0.0;11.0;2.0;2.0;0.0;9.0;2.0;107.0;103.0;74.0;40.0;35.0;16.0;421.0;395.0;51.0;39.0;5.0;6.0;946.0;838.0;1621.0;1429.0;
- Municipio de Pinto;0.0;0.0;0.0;0.0;5.0;6.0;0.0;0.0;1.0;4.0;0.0;1.0;1.0;3.0;32.0;28.0;51.0;26.0;31.0;19.0;147.0;157.0;5.0;7.0;5.0;2.0;383.0;366.0;629.0;596.0;
- Municipio de Pozuelo de Alarcón;0.0;0.0;0.0;0.0;4.0;5.0;0.0;0.0;4.0;5.0;0.0;0.0;4.0;5.0;11.0;11.0;56.0;33.0;36.0;31.0;247.0;251.0;29.0;26.0;5.0;4.0;548.0;449.0;904.0;784.0;
- Municipio de Rivas-Vaciamadrid;0.0;0.0;0.0;1.0;5.0;5.0;0.0;0.0;5.0;2.0;0.0;0.0;5.0;2.0;18.0;13.0;47.0;66.0;31.0;38.0;402.0;418.0;18.0;7.0;3.0;3.0;768.0;756.0;1266.0;1271.0;
- Municipio de Rozas de Madrid (Las);0.0;0.0;0.0;0.0;5.0;10.0;0.0;0.0;10.0;8.0;1.0;1.0;9.0;7.0;20.0;36.0;99.0;93.0;71.0;72.0;342.0;337.0;15.0;19.0;1.0;1.0;646.0;520.0;1138.0;1024.0;
- Municipio de San Fernando de Henares;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;2.0;4.0;2.0;8.0;22.0;21.0;11.0;6.0;133.0;141.0;23.0;12.0;3.0;0.0;273.0;256.0;458.0;442.0;
- Municipio de San Sebastián de los Reyes;0.0;0.0;0.0;0.0;10.0;6.0;0.0;0.0;6.0;9.0;1.0;1.0;5.0;8.0;12.0;25.0;70.0;53.0;40.0;25.0;449.0;363.0;19.0;12.0;2.0;6.0;518.0;563.0;1086.0;1037.0;
- Municipio de Torrejón de Ardoz;0.0;0.0;1.0;1.0;12.0;9.0;0.0;0.0;7.0;15.0;1.0;3.0;6.0;12.0;22.0;18.0;54.0;48.0;28.0;13.0;325.0;259.0;26.0;17.0;4.0;4.0;620.0;643.0;1071.0;1014.0;
- Municipio de Valdemoro;0.0;0.0;1.0;1.0;8.0;16.0;0.0;0.0;11.0;12.0;1.0;3.0;10.0;9.0;16.0;22.0;55.0;26.0;25.0;10.0;166.0;153.0;19.0;13.0;2.0;2.0;634.0;630.0;912.0;875.0;
- Municipio de Tres Cantos;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;1.0;0.0;2.0;0.0;3.0;5.0;26.0;12.0;22.0;6.0;81.0;75.0;1.0;0.0;2.0;1.0;188.0;194.0;304.0;288.0;
Notas:
NIPO 126-20-005-0 
  
 (*) Se computan datos provenientes de la Policía Nacional, Guardia  Civil, policías autonómicas y policías locales que proporcionan datos  al Sistema Estadístico de Criminalidad.              
                            
 (**) Indicadores estadísticos de criminalidad utilizados por la  Oficina Estadística Europea (EUROSTAT).
Fuente: Ministerio del Interior
